uuid,all_uuids,playlist_title,id3_title,new_name,mp3_exists,image_exists
"4e9882e8-000e-41ee-8161-62d59cb5d022","4e9882e8-000e-41ee-8161-62d59cb5d022|f8ca9577-3fba-4e36-b442-f5eaf07a16c6","le est victime de son talon","38e épisode, au cours duquel Briséis est inconsolable","le est victime de son talon",True,True
"f61fc802-721f-4eb7-a51a-33cc0808371a","f61fc802-721f-4eb7-a51a-33cc0808371a","aliser la ruse d_Ulysse","40e épisode, qui voit se réaliser la ruse d’Ulysse","aliser la ruse d_Ulysse",True,True
"6a2ba6c8-60a9-4c0c-8c5d-722e626cdf19","6a2ba6c8-60a9-4c0c-8c5d-722e626cdf19|34c20c11-e474-45ea-82e9-24ecbed984ed","Ulysse reprend la mer","41e épisode, où Ulysse reprend la mer","Ulysse reprend la mer",True,True
"77840a4b-cbd8-4fb2-b77a-0f7e6935df90","77840a4b-cbd8-4fb2-b77a-0f7e6935df90|94256de9-5112-4492-8f3f-ae079a0ea18d","se plante de l_oubli menac","43e épisode, où le souvenir d’un père est menacé d’oubli","se plante de l_oubli menac",True,True
"f5829cd0-33dd-4162-816d-ddb215072068","f5829cd0-33dd-4162-816d-ddb215072068","Ulysse fait connaissance avec le cyclope","45e épisode, où Ulysse fait connaissance avec le cyclope","Ulysse fait connaissance avec le cyclope",True,True
"36f519e0-330d-4aab-bdd7-2f140c1decbb","36f519e0-330d-4aab-bdd7-2f140c1decbb","pisode_ au cours duquel Ulysse aux mille ruses gagn","47e épisode, où la vanité d’Ulysse lui fait commettre une très grosse erreur","pisode_ au cours duquel Ulysse aux mille ruses gagn",True,True
"123581ca-8ce3-4939-a6e2-3b090285bfec","123581ca-8ce3-4939-a6e2-3b090285bfec|bc5e53ac-2673-4dbc-95ab-62147e8edb19","pisode_ au cours duquel la fin de l_errance se profile","48e épisode, au cours duquel la fin de l’errance se profile","pisode_ au cours duquel la fin de l_errance se profile",True,True
"55808cd6-0cc9-4b98-8bb4-1de3f6b2ac9f","55808cd6-0cc9-4b98-8bb4-1de3f6b2ac9f","Ulysse perd tous ses navires_ sauf un","50e épisode, où Ulysse perd tous ses navires, sauf un","Ulysse perd tous ses navires_ sauf un",True,True
"53362cdc-4b56-4144-b0d8-4291a28fdfa3","53362cdc-4b56-4144-b0d8-4291a28fdfa3","des fauves se prennent pour des agneaux","52e épisode, qui voit apparaître une magicienne sur la route d’Ulysse","des fauves se prennent pour des agneaux",True,True
"4ddd13bc-6b7b-46b0-add9-e6d14ab28a08","4ddd13bc-6b7b-46b0-add9-e6d14ab28a08|a40dfebd-c412-41f0-9cee-3400a00f5a32","i_4ddd13bc-6b7b-46b0-add9-e6d14ab28a08","53e épisode, où la situation tourne à l’avantage d’Ulysse","i_4ddd13bc-6b7b-46b0-add9-e6d14ab28a08",True,True
"321d993c-0c9e-43a9-ab28-9d4b5f39ab81","321d993c-0c9e-43a9-ab28-9d4b5f39ab81","Ulysse s_approche des Enfers","55e épisode, où Ulysse s’approche des Enfers","Ulysse s_approche des Enfers",True,True
"8448fd74-78f3-4bdb-8ad3-46d927aa5db0","8448fd74-78f3-4bdb-8ad3-46d927aa5db0","pisode_ dans lequel Ulysse voit son destin en face","57e épisode, au cours duquel Ulysse fait une rencontre bouleversante","pisode_ dans lequel Ulysse voit son destin en face",True,True
"e7f48b9b-c7f7-4b3f-900e-a0ef716d1179","e7f48b9b-c7f7-4b3f-900e-a0ef716d1179|3170eac0-1270-48d2-b542-9d63f5d4f722","i_e7f48b9b-c7f7-4b3f-900e-a0ef716d1179","58e épisode, où l’on assiste à une grosse colère de Télémaque","i_e7f48b9b-c7f7-4b3f-900e-a0ef716d1179",True,True
"13fd8d81-8573-4aec-b4d1-9945af4121da","13fd8d81-8573-4aec-b4d1-9945af4121da","Ulysse rencontre des morts illustres","60e épisode, qui voit le retour glorieux d’Agamemnon à Mycènes","Ulysse rencontre des morts illustres",True,True
