original,new_name,id3_title,status
"4dc4e020-8a64-4200-9a9b-2a6083fabfbe.mp3","86e épisode_ au cours duquel quelqu_un d_autre reconnaît U","86e épisode, au cours duquel quelqu’un d’autre reconnaît Ulysse","✓"
"4ddd13bc-6b7b-46b0-add9-e6d14ab28a08.mp3","53e épisode_ où la situation tourne à l_avantage d_Ulysse","53e épisode, où la situation tourne à l’avantage d’Ulysse","✓"
"4e3f8ebb-7b01-48af-8c6b-d5ab826da190.mp3","88e épisode_ où la destinée de Pénélope dépend d_un ar","88e épisode, où la destinée de Pénélope dépend d’un arc","✓"
"4e403b9f-5319-44cc-a15d-bab2988b376c.mp3","78e épisode_ où Ulysse devient un véritable naufragé","78e épisode, où Ulysse devient un véritable naufragé","✓"
"4e9882e8-000e-41ee-8161-62d59cb5d022.mp3","38e épisode_ au cours duquel Briséis est inconsolable","38e épisode, au cours duquel Briséis est inconsolable","✓"
"4e9c93f4-e3ae-4435-899c-624249e4d47c.mp3","35e épisode_ au cours duquel la fièvre dévore Ulysse","35e épisode, au cours duquel la fièvre dévore Ulysse","✓"
"4efdf0d8-6355-48d0-aeb8-4e3c6242d2ef.mp3","09_CH_06_LE_VOLEUR_DE_FOUDRE","09_CH_06_LE_VOLEUR_DE_FOUDRE","✓"
"51aa0475-9343-481b-a830-d099e9cdbaaa.mp3","3e épisode_ au cours duquel se joue le destin d_Ulysse","3e épisode, au cours duquel se joue le destin d’Ulysse","✓"
"53362cdc-4b56-4144-b0d8-4291a28fdfa3.mp3","52e épisode_ qui voit apparaître une magicienne sur la rou","52e épisode, qui voit apparaître une magicienne sur la route d’Ulysse","✓"
"55808cd6-0cc9-4b98-8bb4-1de3f6b2ac9f.mp3","50e épisode_ où Ulysse perd tous ses navires_ sauf un","50e épisode, où Ulysse perd tous ses navires, sauf un","✓"
"57298dbb-567c-4865-8fb5-9914a10ab196.mp3","20e épisode_ où une guerre commence par une terrible proph","20e épisode, où une guerre commence par une terrible prophétie","✓"
"58285135-3c7f-48e0-9b3f-f2c76e1d5d01.mp3","19_CH_12_LE_VOLEUR_DE_FOUDRE","19_CH_12_LE_VOLEUR_DE_FOUDRE","✓"
"58ebeb02-4bcf-4713-9120-2698551b33ef.mp3","05_CH_04_LE_VOLEUR_DE_FOUDRE","05_CH_04_LE_VOLEUR_DE_FOUDRE","✓"
"5ab0a8b8-69e1-4961-90f6-316720ff0090.mp3","70e épisode_ au cours duquel Ulysse va de Charybde en Scyll","70e épisode, au cours duquel Ulysse va de Charybde en Scylla","✓"
"5ade31ff-5b9b-4959-8c82-e30ebf47295b.mp3","91e épisode_ où un homme et une femme hésitent à se retr","91e épisode, où un homme et une femme hésitent à se retrouver","✓"
"5c4f7a62-4dd7-479d-b15f-709ba95fdb01.mp3","19e épisode_ où la déesse Artémis montre qu_elle a du c","19e épisode, où la déesse Artémis montre qu’elle a du cœur","✓"
"5d3afee8-da4a-4494-a96e-f7ae4ba93df9.mp3","34_CH_21_LE_VOLEUR_DE_FOUDRE","34_CH_21_LE_VOLEUR_DE_FOUDRE","✓"
"5ed08ca7-4032-453d-bd29-8603abea7e35.mp3","77e épisode_ au cours duquel Télémaque obtient des nouvel","77e épisode, au cours duquel Télémaque obtient des nouvelles","✓"
"60051180-4567-45e4-a6b0-2629c64e9323.mp3","33_CH_21_LE_VOLEUR_DE_FOUDRE","33_CH_21_LE_VOLEUR_DE_FOUDRE","✓"
"600ed6b4-2ac2-4b2c-a66c-66f2147ba48c.mp3","14_CH_09_LE_VOLEUR_DE_FOUDRE","14_CH_09_LE_VOLEUR_DE_FOUDRE","✓"
"60578e71-c192-4415-851a-65c1de1e3b39.mp3","15_CH_10_LE_VOLEUR_DE_FOUDRE","15_CH_10_LE_VOLEUR_DE_FOUDRE","✓"
"6197ffc9-afce-4f68-aafc-dcbbc176cb64.mp3","28_CH_18_LE_VOLEUR_DE_FOUDRE","28_CH_18_LE_VOLEUR_DE_FOUDRE","✓"
"61a0e218-a3d2-41c0-91ef-b483a4795ea9.mp3","90e épisode_ qui voit la vengeance d_Ulysse s_accomplir","90e épisode, qui voit la vengeance d’Ulysse s’accomplir","✓"
"62b4c11d-ec02-4179-90b0-473e86c766cc.mp3","82e épisode_ où Ulysse rentre enfin à Ithaque","82e épisode, où Ulysse rentre enfin à Ithaque","✓"
"65652604-efaf-44d3-9f31-555d5ae88f49.mp3","16e épisode_ où l_on comprend enfin les causes de cette gu","16e épisode, où l’on comprend enfin les causes de cette guerre","✓"
"65c20309-ec23-49d8-9bc1-ba653c56785f.mp3","27e épisode_ où Ulysse aux mille ruses tente d_infléchir ","27e épisode, où Ulysse aux mille ruses tente d’infléchir le cours de la guerre","✓"
"6a075ef6-ae75-4ec2-b9c3-3eae52b64051.mp3","01_CH_01_LE_VOLEUR_DE_FOUDRE","01_CH_01_LE_VOLEUR_DE_FOUDRE","✓"
"6a2ba6c8-60a9-4c0c-8c5d-722e626cdf19.mp3","41e épisode_ où Ulysse reprend la mer","41e épisode, où Ulysse reprend la mer","✓"
"6abc99e8-b2ae-4dc9-b4fb-36a5baaa523b.mp3","36e épisode_ où un père supplie Achille de lui rendre le ","36e épisode, où un père supplie Achille de lui rendre le corps de son fils","✓"
"6e97f6bc-2a7d-4c59-ba88-91431c88987c.mp3","51e épisode_ où des fauves se prennent pour des agneaux","51e épisode, où des fauves se prennent pour des agneaux","✓"
"6f4d0975-d7bf-4214-a160-06a80ad5dd51.mp3","100e épisode_ quand Ulysse et Pénélope se choisissent une","100e épisode, quand Ulysse et Pénélope se choisissent une patrie","✓"
"6ffb1260-7db4-491a-a4db-ff6a2352eceb.mp3","12e épisode_ où l_on assiste à une bien étrange naissanc","12e épisode, où l’on assiste à une bien étrange naissance","✓"
"719c8ee1-4a63-40c7-b1da-82b563848cd6.mp3","25e épisode_ où Agamemnon se comporte en tyran capricieux","25e épisode, où Agamemnon se comporte en tyran capricieux","✓"
"75299f8c-379a-4b36-af87-abb8557f491c.mp3","96e épisode_ où une vraie paix s_instaure sur Ithaque","96e épisode, où une vraie paix s’instaure sur Ithaque","✓"
"77840a4b-cbd8-4fb2-b77a-0f7e6935df90.mp3","43e épisode_ où le souvenir d_un père est menacé d_oubli","43e épisode, où le souvenir d’un père est menacé d’oubli","✓"
"7a01bdb2-f3bf-4705-a64e-b20875a05d6f.mp3","93e épisode_ où le récit peut enfin exister","93e épisode, où le récit peut enfin exister","✓"
"7c8e3c6b-cc81-42f5-83c9-184a4c5ebfae.mp3","02_CH_02_LE_VOLEUR_DE_FOUDRE","02_CH_02_LE_VOLEUR_DE_FOUDRE","✓"
"7fa956e2-0350-442a-b22a-72880e5261d1.mp3","29e épisode_ au cours duquel Ménélas et Pâris se battent","29e épisode, au cours duquel Ménélas et Pâris se battent en combat singulier","✓"
"806dc667-ba01-4fa6-9cbb-50edc779dd73.mp3","06_CH_05_LE_VOLEUR_DE_FOUDRE","06_CH_05_LE_VOLEUR_DE_FOUDRE","✓"
"806f3ed3-6e14-4e65-88d5-30e0a60862a7.mp3","07_CH_05_LE_VOLEUR_DE_FOUDRE","07_CH_05_LE_VOLEUR_DE_FOUDRE","✓"
"82c1ce48-a08d-4847-bd00-a40aac69b17c.mp3","98e épisode_ où commence une longue marche","98e épisode, où commence une longue marche","✓"
"8448fd74-78f3-4bdb-8ad3-46d927aa5db0.mp3","57e épisode_ au cours duquel Ulysse fait une rencontre boul","57e épisode, au cours duquel Ulysse fait une rencontre bouleversante","✓"
"85c70a2b-b01b-4b50-9852-00c2c425f862.mp3","18_CH_11_LE_VOLEUR_DE_FOUDRE","18_CH_11_LE_VOLEUR_DE_FOUDRE","✓"
"85d0e632-1066-4b44-8ef6-f71190633031.mp3","2e épisode_ où Ulysse rencontre plus rusé que lui","2e épisode, où Ulysse rencontre plus rusé que lui","✓"
"8aa8d1d1-8743-4bc0-b17e-aecf784bd202.mp3","83e épisode_ où l_on assiste aux retrouvailles d_un fils e","83e épisode, où l’on assiste aux retrouvailles d’un fils et de son père","✓"
"8da27128-a8c2-4e52-8a6c-dcb31bd96cb4.mp3","Crédits","Crédits","✓"
"8f1bd6a8-d2fd-48bb-9875-bf03b1747b20.mp3","10_CH_07_LE_VOLEUR_DE_FOUDRE","10_CH_07_LE_VOLEUR_DE_FOUDRE","✓"
"908e40d5-30c3-4eca-9c32-b87a6a9152be.mp3","92e épisode_ où deux moitiés d_orange se réunissent","92e épisode, où deux moitiés d’orange se réunissent","✓"
"91dbc6a5-8788-4e82-8f29-b28495cf408b.mp3","33_CH_21_LE_VOLEUR_DE_FOUDRE","33_CH_21_LE_VOLEUR_DE_FOUDRE","✓"
"94256de9-5112-4492-8f3f-ae079a0ea18d.mp3","44e épisode_ où Ulysse est piégé par sa curiosité","44e épisode, où Ulysse est piégé par sa curiosité","✓"
"955e49ea-f0cb-4d67-af3e-3c59e1cc7160.mp3","24_CH_16_LE_VOLEUR_DE_FOUDRE","24_CH_16_LE_VOLEUR_DE_FOUDRE","✓"
"95c0cc0e-21e6-4874-af41-495091207739.mp3","12_CH_08_LE_VOLEUR_DE_FOUDRE","12_CH_08_LE_VOLEUR_DE_FOUDRE","✓"
"9715b03c-ae93-4802-875d-272f52ba04fd.mp3","68e épisode_ où le chant des sirènes menace","68e épisode, où le chant des sirènes menace","✓"
"97ca8026-df6a-498e-a5e8-e39231a91025.mp3","56e épisode_ dans lequel Ulysse voit son destin en face","56e épisode, dans lequel Ulysse voit son destin en face","✓"
"98744427-eef5-442a-b09d-584569267199.mp3","25_CH_16_LE_VOLEUR_DE_FOUDRE","25_CH_16_LE_VOLEUR_DE_FOUDRE","✓"
"9d72e338-7ddf-460c-b724-3e3ee7458f20.mp3","17e épisode_ où Ulysse est chargé d_une mission peu glori","17e épisode, où Ulysse est chargé d’une mission peu glorieuse","✓"
"9e16a2b2-16c9-434f-92f0-6a8c5d260ae5.mp3","34e épisode_ où un petit garçon a peur de son père","34e épisode, où un petit garçon a peur de son père","✓"
"a0f6dba7-3939-46b2-b137-345bb3160e4f.mp3","11_CH_08_LE_VOLEUR_DE_FOUDRE","11_CH_08_LE_VOLEUR_DE_FOUDRE","✓"
"a39af675-799f-438d-90a5-9aa20623425b.mp3","30_CH_19_LE_VOLEUR_DE_FOUDRE","30_CH_19_LE_VOLEUR_DE_FOUDRE","✓"
"a40dfebd-c412-41f0-9cee-3400a00f5a32.mp3","54e épisode_ au cours duquel Circé envoie Ulysse aux Enfer","54e épisode, au cours duquel Circé envoie Ulysse aux Enfers","✓"
"a667b7c1-0249-4b77-9285-912b0df05600.mp3","18_CH_11_LE_VOLEUR_DE_FOUDRE","18_CH_11_LE_VOLEUR_DE_FOUDRE","✓"
"a8983843-45c9-49ff-aaed-8d549dd3eabd.mp3","12_CH_08_LE_VOLEUR_DE_FOUDRE","12_CH_08_LE_VOLEUR_DE_FOUDRE","✓"
"a991fe6b-9c3d-446a-ba10-91f31fec94ca.mp3","69e épisode_ quand Ulysse échappe in extremis aux chanteus","69e épisode, quand Ulysse échappe in extremis aux chanteuses","✓"
"aa6afbdf-1593-4eb6-9e86-7866198d77b5.mp3","32_CH_20_LE_VOLEUR_DE_FOUDRE","32_CH_20_LE_VOLEUR_DE_FOUDRE","✓"
"ab8fbfc9-47cd-49e7-baf4-505931e711b7.mp3","85e épisode_ quand les lois de l_hospitalité sont bafouée","85e épisode, quand les lois de l’hospitalité sont bafouées","✓"
"ac17c2ee-356d-4452-b09e-e2cfd88da4ea.mp3","31_CH_19_LE_VOLEUR_DE_FOUDRE","31_CH_19_LE_VOLEUR_DE_FOUDRE","✓"
"ac4c7e77-72e1-4fce-8c98-533ce5e79b56.mp3","31e épisode_ où Achille refuse de reprendre le combat","31e épisode, où Achille refuse de reprendre le combat","✓"
"acf9c80a-dcd9-4c56-ad59-6392da2e81d1.mp3","33e épisode_ où l_on voit que l_audace peut vaincre tous l","33e épisode, où l’on voit que l’audace peut vaincre tous les obstacles","✓"
"af35c13c-f35e-4782-8ebd-35b201ee4919.mp3","75e épisode_ quand un fils part à la recherche de son","75e épisode, quand un fils part à la recherche de son","✓"
"b0b30d1c-18a6-4b86-a669-951a7e9fa4b5.mp3","74e épisode_ où le héros renonce à l_immortalité","74e épisode, où le héros renonce à l’immortalité","✓"
"b0ef0650-4ef2-4528-a838-138654a9876d.mp3","23_CH_15_LE_VOLEUR_DE_FOUDRE","23_CH_15_LE_VOLEUR_DE_FOUDRE","✓"
